"AWS Auto Scaling Plans","<p>Use AWS Auto Scaling to quickly discover all the scalable AWS resources for your application and ",2018-01-06,"17-01-2018 08:36:44","18-01-2018 12:17:33"
"AWS Batch","<p>AWS Batch enables you to run batch computing workloads on the AWS Cloud. Batch computing is a com",2016-08-10,"02-05-2017 07:59:53","30-11-2017 10:12:39"
"AWS Budgets","<p>Budgets enable you to plan your service usage, service costs, and your RI utilization. You can al",2016-10-20,"02-05-2017 07:59:53","09-02-2018 12:41:49"
"AWS Cost Explorer Service","<p>The Cost Explorer API allows you to programmatically query your cost and usage data. You can quer",2017-10-25,"25-11-2017 18:52:51","23-02-2018 14:29:25"
"AWS Cloud9","<fullname>AWS Cloud9</fullname> <p>AWS Cloud9 is a collection of tools that you can use to code, bui",2017-09-23,"01-12-2017 18:40:16","06-02-2018 08:29:45"
"Amazon CloudDirectory","<fullname>Amazon Cloud Directory</fullname> <p>Amazon Cloud Directory is a component of the AWS Dire",2016-05-10,"02-05-2017 07:59:53","11-12-2017 08:35:19"
"AWS CloudFormation","<fullname>AWS CloudFormation</fullname> <p>AWS CloudFormation allows you to create and manage AWS in",2010-05-15,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon CloudFront","<fullname>Amazon CloudFront</fullname> <p>This is the <i>Amazon CloudFront API Reference</i>. This g",2017-03-25,"02-05-2017 07:59:53","06-12-2017 17:43:33"
"Amazon CloudHSM","<fullname>AWS CloudHSM Service</fullname> <p>This is documentation for <b>AWS CloudHSM Classic</b>. ",2014-05-30,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS CloudHSM V2","For more information about AWS CloudHSM, see <a href=""http://aws.amazon.com/cloudhsm/"">AWS CloudHSM<",2017-04-28,"20-08-2017 11:00:29","28-11-2017 16:03:46"
"Amazon CloudSearch","<fullname>Amazon CloudSearch Configuration Service</fullname> <p>You use the Amazon CloudSearch conf",2013-01-01,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon CloudSearch Domain","<p>You use the AmazonCloudSearch2013 API to upload documents to a search domain and search those doc",2013-01-01,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS CloudTrail","<fullname>AWS CloudTrail</fullname> <p>This is the CloudTrail API Reference. It provides description",2013-11-01,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS CodeBuild","<fullname>AWS CodeBuild</fullname> <p>AWS CodeBuild is a fully managed build service in the cloud. A",2016-10-06,"02-05-2017 07:59:53","27-01-2018 11:53:44"
"AWS CodeCommit","<fullname>AWS CodeCommit</fullname> <p>This is the <i>AWS CodeCommit API Reference</i>. This referen",2015-04-13,"02-05-2017 07:59:53","22-02-2018 11:12:03"
"AWS CodeDeploy","<fullname>AWS CodeDeploy</fullname> <p>AWS CodeDeploy is a deployment service that automates applica",2014-10-06,"02-05-2017 07:59:53","10-01-2018 13:29:20"
"AWS CodePipeline","<fullname>AWS CodePipeline</fullname> <p> <b>Overview</b> </p> <p>This is the AWS CodePipeline API R",2015-07-09,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS CodeStar","<fullname>AWS CodeStar</fullname> <p>This is the API reference for AWS CodeStar. This reference prov",2017-04-19,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon Cognito Identity","<fullname>Amazon Cognito</fullname> <p>Amazon Cognito is a web service that delivers scoped temporar",2014-06-30,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon Cognito Identity Provider","<p>Using the Amazon Cognito User Pools API, you can create a user pool to manage directories and use",2016-04-18,"02-05-2017 07:59:53","13-02-2018 09:26:21"
"Amazon Cognito Sync","<fullname>Amazon Cognito Sync</fullname> <p>Amazon Cognito Sync provides an AWS service and client l",2014-06-30,"02-05-2017 07:59:53","06-12-2017 17:43:33"
"Amazon Comprehend","Amazon Comprehend is an AWS service for gaining insight into the content of documents. Use these act",2017-11-27,"30-11-2017 10:12:39","30-11-2017 10:12:39"
"AWS Config","<fullname>AWS Config</fullname> <p>AWS Config provides a way to keep track of the configurations of ",2014-11-12,"02-05-2017 07:59:53","20-02-2018 07:31:25"
"AWS Cost and Usage Report Service","All public APIs for AWS Cost and Usage Report service",2017-01-06,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS Data Pipeline","<p>AWS Data Pipeline configures and manages a data-driven workflow called a pipeline. AWS Data Pipel",2012-10-29,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon DynamoDB Accelerator (DAX)","DAX is a managed caching service engineered for Amazon DynamoDB. DAX dramatically speeds up database",2017-04-19,"26-06-2017 18:31:20","28-11-2017 16:03:46"
"AWS Device Farm","AWS Device Farm is a service that enables mobile app developers to test Android, iOS, and Fire OS ap",2015-06-23,"02-05-2017 07:59:53","27-01-2018 11:53:44"
"AWS Direct Connect","AWS Direct Connect links your internal network to an AWS Direct Connect location over a standard 1 g",2012-10-25,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS Application Discovery Service","<fullname>AWS Application Discovery Service</fullname> <p>AWS Application Discovery Service helps yo",2015-11-01,"02-05-2017 07:59:53","10-01-2018 13:29:20"
"AWS Database Migration Service","<fullname>AWS Database Migration Service</fullname> <p>AWS Database Migration Service (AWS DMS) can ",2016-01-01,"02-05-2017 07:59:53","09-02-2018 12:41:49"
"AWS Directory Service","<fullname>AWS Directory Service</fullname> <p>AWS Directory Service is a web service that makes it e",2015-04-16,"02-05-2017 07:59:53","09-02-2018 12:41:49"
"Amazon DynamoDB","<fullname>Amazon DynamoDB</fullname> <p>Amazon DynamoDB is a fully managed NoSQL database service th",2012-08-10,"02-05-2017 07:59:53","09-02-2018 12:41:49"
"Amazon Elastic Compute Cloud","<fullname>Amazon Elastic Compute Cloud</fullname> <p>Amazon Elastic Compute Cloud (Amazon EC2) provi",2016-11-15,"02-05-2017 07:59:53","22-02-2018 11:12:03"
"Amazon EC2 Container Registry","Amazon Elastic Container Registry (Amazon ECR) is a managed Docker registry service. Customers can u",2015-09-21,"02-05-2017 07:59:53","28-02-2018 07:37:28"
"Amazon EC2 Container Service","<p>Amazon Elastic Container Service (Amazon ECS) is a highly scalable, fast, container management se",2014-11-13,"02-05-2017 07:59:53","23-12-2017 12:01:32"
"Amazon ElastiCache","<fullname>Amazon ElastiCache</fullname> <p>Amazon ElastiCache is a web service that makes it easier ",2015-02-02,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS Elastic Beanstalk","<fullname>AWS Elastic Beanstalk</fullname> <p>AWS Elastic Beanstalk makes it easy for you to create,",2010-12-01,"02-05-2017 07:59:53","11-12-2017 08:35:19"
"Amazon Elastic File System","<fullname>Amazon Elastic File System</fullname> <p>Amazon Elastic File System (Amazon EFS) provides ",2015-02-01,"02-05-2017 07:59:53","06-12-2017 17:43:33"
"Elastic Load Balancing","<fullname>Elastic Load Balancing</fullname> <p>A load balancer can distribute incoming traffic acros",2012-06-01,"02-05-2017 07:59:53","15-01-2018 17:17:08"
"Elastic Load Balancing","<fullname>Elastic Load Balancing</fullname> <p>A load balancer distributes incoming traffic across t",2015-12-01,"02-05-2017 07:59:53","23-02-2018 14:29:25"
"Amazon Elastic MapReduce","Amazon EMR is a web service that makes it easy to process large amounts of data efficiently. Amazon ",2009-03-31,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon Elastic Transcoder","<fullname>AWS Elastic Transcoder Service</fullname> <p>The AWS Elastic Transcoder Service.</p>",2012-09-25,"02-05-2017 07:59:53","06-12-2017 17:43:33"
"Amazon Simple Email Service","<fullname>Amazon Simple Email Service</fullname> <p> This is the API Reference for <a href=""https://",2010-12-01,"02-05-2017 07:59:53","17-12-2017 17:42:23"
"AWS Marketplace Entitlement Service","<fullname>AWS Marketplace Entitlement Service</fullname> <p>This reference provides descriptions of ",2017-01-11,"14-05-2017 12:00:27","28-11-2017 16:03:46"
"Amazon Elasticsearch Service","<fullname>Amazon Elasticsearch Configuration Service</fullname> <p>Use the Amazon Elasticsearch conf",2015-01-01,"02-05-2017 07:59:53","11-12-2017 08:35:19"
"Amazon CloudWatch Events","<p>Amazon CloudWatch Events helps you to respond to state changes in your AWS resources. When your r",2015-10-07,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon Kinesis Firehose","<fullname>Amazon Kinesis Firehose API Reference</fullname> <p>Amazon Kinesis Firehose is a fully man",2015-08-04,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon GameLift","<fullname>Amazon GameLift Service</fullname> <p> Amazon GameLift is a managed service for developers",2015-10-01,"02-05-2017 07:59:53","15-02-2018 21:53:56"
"Amazon Glacier","<p>Amazon Glacier is a storage solution for ""cold data.""</p> <p>Amazon Glacier is an extremely low-c",2012-06-01,"02-05-2017 07:59:53","14-02-2018 14:16:26"
"AWS Glue","<fullname>AWS Glue</fullname> <p>Defines the public endpoint for the AWS Glue service.</p>",2017-03-31,"20-08-2017 11:00:29","07-02-2018 07:19:24"
"AWS Greengrass","AWS Greengrass seamlessly extends AWS onto physical devices so they can act locally on the data they",2017-06-07,"26-06-2017 18:31:20","06-12-2017 17:43:33"
"Amazon GuardDuty","Assess, monitor, manage, and remediate security issues across your AWS infrastructure, applications,",2017-11-28,"30-11-2017 10:12:39","13-02-2018 09:26:21"
"AWS Health APIs and Notifications","<fullname>AWS Health</fullname> <p>The AWS Health API provides programmatic access to the AWS Health",2016-08-04,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS Identity and Access Management","<fullname>AWS Identity and Access Management</fullname> <p>AWS Identity and Access Management (IAM) ",2010-05-08,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS Import/Export","<fullname>AWS Import/Export Service</fullname> AWS Import/Export accelerates transferring large amou",2010-06-01,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon Inspector","<fullname>Amazon Inspector</fullname> <p>Amazon Inspector enables you to analyze the behavior of you",2016-02-16,"02-05-2017 07:59:53","08-01-2018 11:01:53"
"AWS IoT","<fullname>AWS IoT</fullname> <p>AWS IoT provides secure, bi-directional communication between Intern",2015-05-28,"02-05-2017 07:59:53","21-12-2017 19:16:47"
"AWS IoT Data Plane","<fullname>AWS IoT</fullname> <p>AWS IoT-Data enables secure, bi-directional communication between In",2015-05-28,"02-05-2017 07:59:53","06-12-2017 17:43:33"
"AWS IoT Jobs Data Plane","<p>AWS IoT Jobs is a service that allows you to define a set of jobs — remote operations that are ",2017-09-29,"30-11-2017 10:12:39","06-12-2017 17:43:33"
"Amazon Kinesis","<fullname>Amazon Kinesis Data Streams Service API Reference</fullname> <p>Amazon Kinesis Data Stream",2013-12-02,"02-05-2017 07:59:53","06-02-2018 08:29:45"
"Amazon Kinesis Video Streams Archived Media",<p/>,2017-09-30,"30-11-2017 10:12:39","05-12-2017 13:11:36"
"Amazon Kinesis Video Streams Media",<p/>,2017-09-30,"30-11-2017 10:12:39","05-12-2017 13:11:36"
"Amazon Kinesis Analytics",,2015-08-14,"02-05-2017 07:59:53","22-12-2017 17:15:46"
"Amazon Kinesis Video Streams",<p/>,2017-09-30,"30-11-2017 10:12:39","30-11-2017 10:12:39"
"AWS Key Management Service","<fullname>AWS Key Management Service</fullname> <p>AWS Key Management Service (AWS KMS) is an encryp",2014-11-01,"02-05-2017 07:59:53","13-02-2018 09:26:21"
"AWS Lambda","<fullname>AWS Lambda</fullname> <p> <b>Overview</b> </p> <p>This is the <i>AWS Lambda API Reference<",2015-03-31,"02-05-2017 07:59:53","27-01-2018 11:53:44"
"Amazon Lex Model Building Service","<fullname>Amazon Lex Build-Time Actions</fullname> <p> Amazon Lex is an AWS service for building con",2017-04-19,"02-05-2017 07:59:53","15-02-2018 09:33:19"
"Amazon Lightsail","<p>Amazon Lightsail is the easiest way to get started with AWS for developers who just need virtual ",2016-11-28,"02-05-2017 07:59:53","30-11-2017 10:12:39"
"Amazon CloudWatch Logs","<p>You can use Amazon CloudWatch Logs to monitor, store, and access your log files from Amazon EC2 i",2014-03-28,"04-12-2017 19:46:20","04-12-2017 19:46:20"
"Amazon Machine Learning","Definition of the public APIs exposed by Amazon Machine Learning",2014-12-12,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS Marketplace Commerce Analytics","Provides AWS Marketplace business intelligence data on-demand.",2015-07-01,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS Elemental MediaConvert","AWS Elemental MediaConvert",2017-08-29,"28-11-2017 16:03:46","15-02-2018 21:53:56"
"AWS Elemental MediaLive","API for AWS Elemental MediaLive",2017-10-14,"28-11-2017 16:03:46","09-02-2018 12:41:49"
"AWS Elemental MediaPackage","AWS Elemental MediaPackage",2017-10-12,"28-11-2017 16:03:46","06-12-2017 17:43:33"
"AWS Elemental MediaStore","An AWS Elemental MediaStore container is a namespace that holds folders and objects. You use a conta",2017-09-01,"28-11-2017 16:03:46","09-02-2018 12:41:49"
"AWS Elemental MediaStore Data Plane","An AWS Elemental MediaStore asset is an object, similar to an object in the Amazon S3 service. Objec",2017-09-01,"28-11-2017 16:03:46","20-12-2017 09:37:08"
"AWSMarketplace Metering","<fullname>AWS Marketplace Metering Service</fullname> <p>This reference provides descriptions of the",2016-01-14,"02-05-2017 07:59:53","05-12-2017 13:11:36"
"AWS Mobile"," AWS Mobile Service provides mobile app and website developers with capabilities required to configu",2017-07-01,"04-09-2017 07:36:07","06-12-2017 17:43:33"
"Amazon Mobile Analytics","Amazon Mobile Analytics is a service for collecting, visualizing, and understanding app usage data a",2014-06-05,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon CloudWatch","<p>Amazon CloudWatch monitors your Amazon Web Services (AWS) resources and the applications you run ",2010-08-01,"02-05-2017 07:59:53","20-12-2017 09:37:08"
AmazonMQ,"Amazon MQ is a managed message broker service for Apache ActiveMQ that makes it easy to set up and o",2017-11-27,"30-11-2017 10:12:39","06-12-2017 17:43:33"
"Amazon Mechanical Turk","<fullname>Amazon Mechanical Turk API Reference</fullname>",2017-01-17,"02-05-2017 07:59:53","27-01-2018 11:53:44"
"AWS OpsWorks","<fullname>AWS OpsWorks</fullname> <p>Welcome to the <i>AWS OpsWorks Stacks API Reference</i>. This g",2013-02-18,"02-05-2017 07:59:53","06-02-2018 08:29:45"
"AWS OpsWorks for Chef Automate","<fullname>AWS OpsWorks CM</fullname> <p> AWS OpsWorks for configuration management (CM) is a service",2016-11-01,"02-05-2017 07:59:53","05-12-2017 13:11:36"
"AWS Organizations","<fullname>AWS Organizations API Reference</fullname> <p>AWS Organizations is a web service that enab",2016-11-28,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon Pinpoint",,2016-12-01,"02-05-2017 07:59:53","06-12-2017 17:43:33"
"Amazon Polly","<p>Amazon Polly is a web service that makes it easy to synthesize speech from text.</p> <p>The Amazo",2016-06-10,"02-05-2017 07:59:53","06-12-2017 17:43:33"
"AWS Price List Service","<p>AWS Price List Service API (AWS Price List Service) is a centralized and convenient way to progra",2017-10-15,"09-11-2017 16:48:43","05-12-2017 13:11:36"
"Amazon Relational Database Service","<fullname>Amazon Relational Database Service</fullname> <p> </p> <p>Amazon Relational Database Servi",2014-10-31,"02-05-2017 07:59:53","17-02-2018 15:32:24"
"Amazon Redshift","<fullname>Amazon Redshift</fullname> <p> <b>Overview</b> </p> <p>This is an interface reference for ",2012-12-01,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon Rekognition","This is the Amazon Rekognition API reference.",2016-06-27,"02-05-2017 07:59:53","30-11-2017 10:12:39"
"AWS Resource Groups","<fullname>AWS Resource Groups</fullname> <p>AWS Resource Groups lets you organize AWS resources such",2017-11-27,"30-11-2017 10:12:39","06-12-2017 17:43:33"
"AWS Resource Groups Tagging API","<fullname>Resource Groups Tagging API</fullname> <p>This guide describes the API operations for the ",2017-01-26,"02-05-2017 07:59:53","05-12-2017 13:11:36"
"Amazon Route 53",,2013-04-01,"02-05-2017 07:59:53","27-02-2018 17:27:13"
"Amazon Route 53 Domains","Amazon Route 53 API actions let you register domain names and perform related operations.",2014-05-15,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon Lex Runtime Service","Amazon Lex provides both build and runtime endpoints. Each endpoint provides a set of operations (AP",2016-11-28,"02-05-2017 07:59:53","11-02-2018 09:48:36"
"Amazon SageMaker Runtime"," Amazon SageMaker runtime API. ",2017-05-13,"30-11-2017 10:12:39","30-11-2017 10:12:39"
"Amazon Simple Storage Service",,2006-03-01,"02-05-2017 07:59:53","06-12-2017 17:43:33"
"Amazon SageMaker Service","Definition of the public APIs exposed by SageMaker",2017-07-24,"30-11-2017 10:12:39","18-01-2018 12:17:33"
"Amazon SimpleDB","Amazon SimpleDB is a web service providing the core database functions of data indexing and querying",2009-04-15,"02-05-2017 07:59:53","28-11-2017 16:03:46"
AWSServerlessApplicationRepository,"<p>The AWS Serverless Application Repository makes it easy for developers and enterprises to quickly",2017-09-08,"01-12-2017 18:40:16","22-02-2018 11:12:03"
"AWS Service Catalog","<fullname>AWS Service Catalog</fullname> <p> <a href=""https://aws.amazon.com/servicecatalog/"">AWS Se",2015-12-10,"02-05-2017 07:59:53","07-02-2018 07:19:24"
"Amazon Route 53 Auto Naming","Amazon Route 53 auto naming lets you configure public or private namespaces that your microservice a",2017-03-14,"06-12-2017 17:43:33","07-02-2018 07:19:24"
"AWS Shield","<fullname>AWS Shield Advanced</fullname> <p>This is the <i>AWS Shield Advanced API Reference</i>. Th",2016-06-02,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS Server Migration Service","Amazon Server Migration Service automates the process of migrating servers to EC2.",2016-10-24,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon Import/Export Snowball","AWS Snowball is a petabyte-scale data transport solution that uses secure appliances to transfer lar",2016-06-30,"02-05-2017 07:59:53","08-01-2018 11:01:53"
"Amazon Simple Notification Service","<fullname>Amazon Simple Notification Service</fullname> <p>Amazon Simple Notification Service (Amazo",2010-03-31,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon Simple Queue Service","<p>Welcome to the <i>Amazon Simple Queue Service API Reference</i>.</p> <p>Amazon Simple Queue Servi",2012-11-05,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon Simple Systems Manager (SSM)","<fullname>AWS Systems Manager</fullname> <p>AWS Systems Manager is a collection of capabilities that",2014-11-06,"02-05-2017 07:59:53","07-02-2018 07:19:24"
"AWS Step Functions","<fullname>AWS Step Functions</fullname> <p>AWS Step Functions is a service that lets you coordinate ",2016-11-23,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS Storage Gateway","<fullname>AWS Storage Gateway Service</fullname> <p>AWS Storage Gateway is the service that connects",2013-06-30,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon DynamoDB Streams","<fullname>Amazon DynamoDB</fullname> <p>Amazon DynamoDB Streams provides API actions for accessing s",2012-08-10,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"AWS Security Token Service","<fullname>AWS Security Token Service</fullname> <p>The AWS Security Token Service (STS) is a web ser",2011-06-15,"02-05-2017 07:59:53","27-02-2018 17:27:13"
"AWS Support","<fullname>AWS Support</fullname> <p>The AWS Support API reference is intended for programmers who ne",2013-04-15,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon Simple Workflow Service","<fullname>Amazon Simple Workflow Service</fullname> <p>The Amazon Simple Workflow Service (Amazon SW",2012-01-25,"02-05-2017 07:59:53","28-11-2017 16:03:46"
"Amazon Transcribe Service","Operations and objects for transcribing speech to text.",2017-10-26,"22-01-2018 08:24:10","22-01-2018 08:24:10"
"Amazon Translate","Provides translation between English and one of six languages, or between one of the six languages a",2017-07-01,"30-11-2017 10:12:39","30-11-2017 10:12:39"
"AWS WAF","This is the <i>AWS WAF API Reference</i> for using AWS WAF with Amazon CloudFront. The AWS WAF actio",2015-08-24,"02-05-2017 07:59:53","21-02-2018 09:08:17"
"AWS WAF Regional","This is the <i>AWS WAF Regional API Reference</i> for using AWS WAF with Elastic Load Balancing (ELB",2016-11-28,"02-05-2017 07:59:53","21-02-2018 09:08:17"
"Amazon WorkDocs","<p>The WorkDocs API is designed for the following use cases:</p> <ul> <li> <p>File Migration: File m",2016-05-01,"02-05-2017 07:59:53","06-12-2017 17:43:33"
"Amazon WorkMail","<p>Amazon WorkMail is a secure, managed business email and calendaring service with support for exis",2017-10-01,"13-12-2017 17:29:17","13-12-2017 17:29:17"
"Amazon WorkSpaces","<fullname>Amazon WorkSpaces Service</fullname> <p>Amazon WorkSpaces enables you to provision virtual",2015-04-08,"02-05-2017 07:59:53","31-12-2017 14:57:33"
"AWS X-Ray","AWS X-Ray provides APIs for managing debug traces and retrieving service maps and other data created",2016-04-12,"02-05-2017 07:59:53","28-11-2017 16:03:46"
Apacta,"API for a tool to craftsmen used to register working hours, material usage and quality assurance.   ",0.0.1,"17-03-2017 22:40:07","22-01-2018 15:44:32"
"Marketcheck Cars","<b>Access the New, Used and Certified cars inventories for all Car Dealers in US.</b> <br/>The data ",1.0.3,"17-01-2018 12:05:29","19-02-2018 08:08:39"
"APIMATIC API Transformer","Transform API Descriptions from/to various formats",1.0,"14-04-2016 12:48:50","04-04-2017 17:27:32"
APIs.guru,"Wikipedia for Web APIs. Repository of API specs in OpenAPI(fka Swagger) 2.0 format.

**Warning**: If",2.0.1,"26-11-2015 17:52:26","13-11-2017 18:16:50"
"2ch matome feeds APIs","Various 2ch matome feeds.<BR />[Endpoint] https://api.apitore.com/api/29",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Certificate feeds APIs","Various certificate feeds.<BR />[Endpoint] https://api.apitore.com/api/31",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Cosine Similarity","Cosine Similarity.<BR />[Endpoint] https://api.apitore.com/api/49",0.0.1,"28-09-2017 06:09:03","28-09-2017 06:09:03"
"Design feeds APIs","Various design feeds.<BR />[Endpoint] https://api.apitore.com/api/32",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Document frequency APIs","Document frequency of Wikipedia.<BR />[Endpoint] https://api.apitore.com/api/16",0.0.1,"18-04-2017 10:18:26","03-10-2017 18:33:47"
"Game feeds APIs","Various game feeds.<BR />[Endpoint] https://api.apitore.com/api/33",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Japanese WordNet APIs","Return all WordNet words.<BR />[Endpoint] https://api.apitore.com/api/40",0.0.1,"28-09-2017 06:09:03","28-09-2017 06:09:03"
"Kmeans clustering by word2vec","Kmeans clustering by word2vec.<BR />[Endpoint] https://api.apitore.com/api/48",0.0.1,"28-09-2017 06:09:03","28-09-2017 06:09:03"
"Kuromoji APIs","Kuromoji: japanese morphological analyzer.<BR />[Endpoint] https://api.apitore.com/api/7",1.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Language Detection APIs","Language detection.<BR />[Endpoint] https://api.apitore.com/api/22",0.0.1,"18-04-2017 10:18:26","03-10-2017 18:33:47"
"News feeds APIs","Various news feeds.<BR />[Endpoint] https://api.apitore.com/api/34",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Pioneer blog feeds APIs","Various blog feeds.<BR />[Endpoint] https://api.apitore.com/api/30",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"RSS2JSON APIs","Rss to Json.<BR />[Endpoint] https://api.apitore.com/api/28",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Sentence separator APIs","Simple sentence separator.<BR />[Endpoint] https://api.apitore.com/api/17",0.0.1,"18-04-2017 10:18:26","03-10-2017 18:33:47"
"Sentence Similarity","Sentence Similarity.<BR />[Endpoint] https://api.apitore.com/api/53",0.0.1,"28-09-2017 06:09:03","03-10-2017 18:33:47"
"SentencePiece APIs (tweet)","SentencePiece tokenizer (tweet).<BR />[Endpoint] https://api.apitore.com/api/38",0.0.1,"18-04-2017 10:18:26","03-10-2017 18:33:47"
"SentencePiece APIs (wikipedia)","SentencePiece tokenizer (wikipedia).<BR />[Endpoint] https://api.apitore.com/api/37",0.0.3,"18-04-2017 10:18:26","03-10-2017 18:33:47"
"Sentiment APIs","Japanese sentiment analyzer.<BR />[Endpoint] https://api.apitore.com/api/52",1.0.6,"18-04-2017 10:18:26","04-01-2018 14:43:03"
"Synonym APIs","Return synonymous words. (equal to ""word2vec distance"")<BR />[Endpoint] https://api.apitore.com/api/",1.0.1,"18-04-2017 10:18:26","03-10-2017 18:33:47"
"Tech feeds APIs","Various tech feeds.<BR />[Endpoint] https://api.apitore.com/api/35",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Text2Label by tfidf APIs","Text to label by tfidf of contents.<BR />[Endpoint] https://api.apitore.com/api/18",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Text2Label by word vector APIs","Text to label by word2vec of contents.<BR />[Endpoint] https://api.apitore.com/api/19",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Travel feeds APIs","Various travel feeds.<BR />[Endpoint] https://api.apitore.com/api/36",0.0.1,"18-04-2017 10:18:26","28-09-2017 06:09:03"
"Tweet summarization APIs","Tweet summarization.<BR />[Endpoint] https://api.apitore.com/api/27",0.0.1,"18-04-2017 10:18:26","03-10-2017 18:33:47"
"Twitter APIs","Call Twitter APIs.<BR />[Endpoint] https://api.apitore.com/api/23",0.0.2,"18-04-2017 10:18:26","03-10-2017 18:33:47"
